Time,Solar_Power_kW,Wind_Power_kW,Load_Demand_kW,Battery_SOC_percent,Voltage_V,Current_A,Temperature_C,Power_Imbalance,Fault_Label
1/1/2025 23:00,4.15,1.99,5.46,71.2,235.5,17.59,35.4,0.68,0
1/1/2025 23:15,0.89,0.53,3.7,96.8,231.4,11.44,35.7,-2.28,1
1/1/2025 23:30,1.37,1.33,4.66,89,230.2,13.98,27.6,-1.96,1
1/1/2025 23:45,2.22,2.8,2.91,50,234.1,10.28,29,2.11,1
1/2/2025 0:00,0.42,1.71,3.2,75.6,231.6,9.32,34.6,-1.07,1
1/2/2025 0:15,2.66,0.91,1.26,91.7,229.8,5,33.4,2.31,1
1/2/2025 0:30,4.25,2.09,3.85,70.9,235,10.32,34.3,2.49,1
1/2/2025 0:45,3.12,1.37,4.27,82.5,230.2,11.45,34.4,0.22,0
1/2/2025 1:00,0.92,1.36,2.49,85.7,225.8,7.92,34.3,-0.21,0
1/2/2025 1:15,4.19,1.45,3.35,81.6,228.7,11.71,37.4,2.29,1
1/2/2025 1:30,2.11,1.53,3.5,80.6,229.7,9.66,27.9,0.15,0
1/2/2025 1:45,2.37,1.61,4.88,57.3,234.8,13.36,28.7,-0.9,0
1/2/2025 2:00,1.96,0.98,3.63,79,230.1,11.45,34.3,-0.69,0
1/2/2025 2:15,0.93,1.21,3.71,74.1,231.7,11.04,30.6,-1.57,1
1/2/2025 2:30,3.63,2.44,2.1,78.1,225.8,7.21,37.6,3.97,1
1/2/2025 2:45,2.03,1.96,2.8,83.7,235.6,7.6,28.5,1.19,1
1/2/2025 3:00,1.65,1.86,3.33,80.3,225.4,9.2,30.7,0.18,0
1/2/2025 3:15,2.23,1.6,4.41,76.1,232.4,14.14,35.3,-0.58,0
1/2/2025 3:30,2.49,1.88,6.96,81.5,225.6,19.12,32.2,-2.59,1
1/2/2025 3:45,3.93,2.38,2.15,75.4,228.5,7.99,30.2,4.16,1
1/2/2025 4:00,2.76,1.72,5.78,81,229.1,19.35,32.4,-1.29,1
1/2/2025 4:15,3.3,2.12,4.37,62.5,229.1,14.55,30.1,1.05,1
1/2/2025 4:30,0.86,1.73,1.9,51.7,228.5,6.44,28.3,0.69,0
1/2/2025 4:45,3.21,0.79,6.02,72.7,233.3,19.09,30.9,-2.02,1
1/2/2025 5:00,1.64,0.76,2.8,73.5,228.9,8.82,30.9,-0.4,0
1/2/2025 5:15,4.22,1.61,4.06,56.3,230.9,12.74,35.2,1.77,1
1/2/2025 5:30,2.59,1.2,3.32,62.2,226.8,10.49,34.1,0.47,0
1/2/2025 5:45,2.05,1.47,3.98,87.1,230.8,13.1,40.1,-0.47,0
1/2/2025 6:00,1.54,2.5,4.86,83.8,231.6,14.39,36.8,-0.81,0
1/2/2025 6:15,1.59,1.16,3.73,71.9,231.7,9.63,31.2,-0.98,0
1/2/2025 6:30,1.18,0,4.01,83.7,230,11.85,29.1,-2.83,1
1/2/2025 6:45,1.4,2.22,3.95,78.5,230,11.87,34.6,-0.33,0
1/2/2025 7:00,2.53,2.74,3.78,80.4,231.3,10.09,29.3,1.48,1
1/2/2025 7:15,3.01,2.36,2.75,89.4,222,11.26,30.1,2.61,1
1/2/2025 7:30,4.78,1.83,2.98,82.7,229.3,8.04,33.9,3.63,1
1/2/2025 7:45,0,0.26,2.06,77.3,233.4,5.52,32.7,-1.8,1
1/2/2025 8:00,3,2.29,3.37,73.6,233.9,9.9,35.1,1.92,1
1/2/2025 8:15,1.46,1.5,3.13,73,227.5,12.02,31.3,-0.17,0
1/2/2025 8:30,4.04,2.11,1.41,71.2,225.2,5,27,4.74,1
1/2/2025 8:45,4.21,1.04,4.77,80.3,225.5,14.19,36.7,0.48,0
1/2/2025 9:00,5,1.11,2.14,91.5,234.8,6.42,32.6,3.97,1
1/2/2025 9:15,3.03,2.16,3.44,88.2,227,10.43,35.5,1.75,1
1/2/2025 9:30,3.5,1.51,5.01,72.1,230.7,15.52,38.7,0,0
1/2/2025 9:45,2.45,0.91,2.72,64,230.1,8.75,30.3,0.64,0
1/2/2025 10:00,3.21,0.68,2.58,73.1,229.2,7.87,32.8,1.3,1
1/2/2025 10:15,2.17,0,3.18,94.4,228.2,9.57,27.3,-1.01,1
1/2/2025 10:30,1.91,3.04,4.22,77.2,227.7,11.62,26.6,0.74,0
1/2/2025 10:45,1.74,1.55,3.75,82.6,230,11.13,29.3,-0.46,0
1/2/2025 11:00,1.39,1.77,2.84,63.8,232.8,8.06,30,0.32,0
1/2/2025 11:15,2.38,0.4,1.97,73.3,227.5,6.14,30.2,0.81,0
1/2/2025 11:30,2.38,0.54,3.48,66,227.8,11.49,32.1,-0.55,0
1/2/2025 11:45,2.32,1.86,5.65,76.3,226.5,16.17,34.3,-1.47,1
1/2/2025 12:00,2.53,2.47,3.68,70,228,11.9,25.2,1.31,1
1/2/2025 12:15,2.55,1.42,3.15,67.1,228.3,9.85,35.5,0.82,0
1/2/2025 12:30,2.28,2.77,2.05,59.8,230.3,6.49,33.6,3,1
1/2/2025 12:45,3.32,1.7,1.53,72.8,228.3,5,28.4,3.5,1
1/2/2025 13:00,2.6,0.84,2.4,60.2,225.7,6.27,29.1,1.04,1
1/2/2025 13:15,2.35,0.75,3.55,76.2,226.4,11.42,29.4,-0.46,0
1/2/2025 13:30,3.34,1.26,3.32,80.1,230.3,11.17,31.4,1.28,1
1/2/2025 13:45,2.56,0.65,2.98,65.6,232.1,8.91,26.1,0.24,0
1/2/2025 14:00,2.74,1.01,3.48,70.7,229.4,10.06,38,0.26,0
1/2/2025 14:15,3.58,0.87,3.13,69,227.1,10.02,33.9,1.32,1
1/2/2025 14:30,3.23,0.67,5.07,69,227.8,17.09,36.2,-1.17,1
1/2/2025 14:45,1.12,2.14,4.84,66,231.9,15.15,34.6,-1.58,1
1/2/2025 15:00,1.5,1.22,2.79,79.7,237,8.51,32.7,-0.07,0
1/2/2025 15:15,2.33,1.7,1.67,74.4,232.3,6.42,34.6,2.36,1
1/2/2025 15:30,2.09,1.75,5.59,77.5,231.2,18.17,32.4,-1.75,1
1/2/2025 15:45,1.94,1.93,2.65,74.9,227.5,7.38,32.9,1.21,1
1/2/2025 16:00,3.35,1.26,4.48,66.2,227.8,12.69,33.6,0.14,0
1/2/2025 16:15,1.01,1.59,3.12,81.1,229.1,11.25,27.4,-0.52,0
1/2/2025 16:30,3.36,1.23,3.85,72.9,232.9,9.73,37,0.74,0
1/2/2025 16:45,1.16,2.29,4.28,73.4,229.1,12.89,39.7,-0.83,0
1/2/2025 17:00,1.91,0.54,6.04,79.8,226.7,18.24,33.2,-3.6,1
1/2/2025 17:15,3.48,1.01,4.61,70,227.5,13.55,36.6,-0.12,0
1/2/2025 17:30,3.22,0.87,4.15,68.3,237.5,14.01,29.3,-0.06,0
1/2/2025 17:45,2.09,2.02,2.97,66,229.5,8.92,34.2,1.13,1
1/2/2025 18:00,3.87,1.07,6.07,75.8,232.9,17.42,34.3,-1.13,1
1/2/2025 18:15,1.31,2.09,3.07,59.9,228.8,8.74,32,0.33,0
1/2/2025 18:30,2.14,1.55,2.84,63.2,228.2,8.51,26.2,0.85,0
1/2/2025 18:45,2.7,1.72,4.61,70.8,234.3,14.28,30.7,-0.19,0
1/2/2025 19:00,4.45,2.07,4.17,63.3,235.8,12.95,26.4,2.35,1
1/2/2025 19:15,4.4,1.59,3.19,90.6,233.2,10.67,29.8,2.8,1
1/2/2025 19:30,2.26,0.56,3.7,63.5,224.7,13.11,26.5,-0.87,0
1/2/2025 19:45,3.16,0.82,4.78,66.9,230.8,15.63,30.5,-0.8,0
1/2/2025 20:00,2.94,0.25,4.63,70.3,226.7,13.88,34.3,-1.44,1
1/2/2025 20:15,2.92,1.13,3.18,60.5,230.9,9.44,42,0.87,0
1/2/2025 20:30,2.38,1.75,2.79,89.5,228.1,8.38,35.6,1.34,1
1/2/2025 20:45,2.7,1.99,1.25,80.3,234.5,5,32,3.44,1
1/2/2025 21:00,1.86,1.65,2.88,71.7,229.4,7.98,21.3,0.63,0
1/2/2025 21:15,1.38,1.2,2.98,70.2,229.9,8.14,35.1,-0.41,0
1/2/2025 21:30,1.03,3.03,4.35,74.6,225.9,11.19,28.7,-0.28,0
1/2/2025 21:45,2.87,2.19,5.31,76.4,231.1,14.72,36.4,-0.25,0
1/2/2025 22:00,1.95,0.97,4.95,86.3,230.6,15.43,34.4,-2.03,1
1/2/2025 22:15,2.23,2.05,3.95,61.3,230.8,11.93,24.5,0.33,0
1/2/2025 22:30,3.26,0.34,3.98,68.9,231,10.68,42.2,-0.37,0
1/2/2025 22:45,3.58,0.67,2.68,67.2,234.3,6.61,26.6,1.56,1
1/2/2025 23:00,3.12,0.23,4.52,79.5,231.8,12.93,35.8,-1.18,1
1/2/2025 23:15,1.42,0.23,3.05,79.3,232,10.9,30.3,-1.4,1
1/2/2025 23:30,3.23,1.15,4.12,73.8,230.4,13.01,34,0.26,0
1/2/2025 23:45,2.51,0.09,1.98,68.7,231.7,6.61,30.4,0.63,0
1/3/2025 0:00,1.66,1.93,1.88,70.9,238.1,5,28.1,1.7,1
1/3/2025 0:15,1.89,0.46,3.64,65,225.7,9.9,32.5,-1.29,1
1/3/2025 0:30,1.48,1.55,2.9,66.4,225,7.94,30.2,0.13,0
1/3/2025 0:45,2.39,0.86,4.82,80.3,225.8,10.97,39,-1.57,1
1/3/2025 1:00,2.05,0.85,5.2,74.2,227.2,17.07,28.2,-2.3,1
1/3/2025 1:15,2.22,1.69,4.23,58.4,232.6,13.88,33,-0.33,0
1/3/2025 1:30,3.79,1.97,5.07,83.2,231.9,16.18,35,0.68,0
1/3/2025 1:45,1.75,0.62,2.11,71,231.8,6.34,29.6,0.26,0
1/3/2025 2:00,1.32,0.5,4.52,63.6,231.3,14.04,28.1,-2.7,1
1/3/2025 2:15,2.49,1.83,3.9,65.2,231.9,12.2,31,0.43,0
1/3/2025 2:30,1.45,0.7,0.65,50.4,231.7,5,42.5,1.5,1
1/3/2025 2:45,3.08,1.54,3.36,66.6,227.4,10.13,31,1.26,1
1/3/2025 3:00,2.79,1.42,4.93,73.9,231.4,11.55,39.6,-0.72,0
1/3/2025 3:15,3.16,1.34,2.75,71.4,226.7,6.63,29.7,1.75,1
1/3/2025 3:30,1.97,0.39,3.36,90.9,234.3,10.26,32.2,-1,1
1/3/2025 3:45,1.7,0.18,2.5,65.4,226.8,7.4,31.9,-0.62,0
1/3/2025 4:00,2.65,2.69,3.56,70.7,228,12.14,32.3,1.77,1
1/3/2025 4:15,2.04,0.1,4.83,72.9,229.4,15.04,25.6,-2.69,1
1/3/2025 4:30,0.89,1.35,5.05,86.3,230.5,14.26,37,-2.81,1
1/3/2025 4:45,3.31,1,5.31,88.5,233.9,15.56,27.3,-1,0
1/3/2025 5:00,2.01,2.46,5.84,87.4,225.2,18.42,22.4,-1.37,1
1/3/2025 5:15,2.32,1.68,4.22,77.2,232.7,11.64,28.7,-0.23,0
1/3/2025 5:30,3.51,1.8,4.03,82.4,226.5,12.62,30.1,1.27,1
1/3/2025 5:45,1.44,2.49,2.29,49.7,231.3,5.84,35.6,1.64,1
1/3/2025 6:00,2.97,1.57,5.41,71.1,228.6,16.31,37.7,-0.86,0
1/3/2025 6:15,1.25,2.33,4.96,63.9,232.7,15.87,29.6,-1.39,1
1/3/2025 6:30,2.46,1.11,3.2,91.8,232.3,10.79,31.1,0.37,0
1/3/2025 6:45,2.9,1.04,4.91,67.3,231.5,13.33,27.4,-0.96,0
1/3/2025 7:00,0.88,1.78,3.81,95.1,228.2,13.84,33.6,-1.15,1
1/3/2025 7:15,2.52,1.6,4.05,81.3,234.2,10.34,29.7,0.06,0
1/3/2025 7:30,4.43,1.33,2.66,48.8,231.6,7.9,26.7,3.1,1
1/3/2025 7:45,3.91,2.52,4.23,78.5,228.2,12.74,33.8,2.2,1
1/3/2025 8:00,3.95,0.61,3.28,87.7,232.6,9.33,34.7,1.28,1
1/3/2025 8:15,1.36,1.35,2.34,60.3,232.2,6.45,24.8,0.38,0
1/3/2025 8:30,2.44,0.26,2.47,66.8,232.2,6.03,28.7,0.23,0
1/3/2025 8:45,2.99,0,3.99,80.6,232.2,12.78,28.4,-1.01,1
1/3/2025 9:00,1.76,0.18,3.37,92.9,235.4,10,29.4,-1.44,1
1/3/2025 9:15,2.94,1.98,2.33,91.4,233.8,5.53,35.6,2.59,1
1/3/2025 9:30,1.35,1.6,2.38,59.6,228,7.93,24.8,0.57,0
1/3/2025 9:45,2.26,1.94,2.37,85.9,230.6,6.33,41.2,1.84,1
1/3/2025 10:00,3.8,1.63,3.65,83.5,227.3,9.76,31.2,1.78,1
1/3/2025 10:15,3.26,1.1,4.07,78,229.3,11.4,26.1,0.29,0
1/3/2025 10:30,1.12,0.92,3.34,81,229.2,10.78,28.3,-1.29,1
1/3/2025 10:45,2.88,2.59,3.48,68.1,230.7,10.85,40.2,1.99,1
1/3/2025 11:00,2.44,1.6,2.52,81.1,226.9,8.94,28,1.52,1
1/3/2025 11:15,3.98,1.84,3.33,82.6,226.5,10.3,29.9,2.49,1
1/3/2025 11:30,1.84,0.47,3.94,62.8,227.1,12.04,29.6,-1.63,1
1/3/2025 11:45,2.64,0.13,6.1,74.3,233.9,18.43,38.6,-3.33,1
1/3/2025 12:00,2.36,1.6,2.29,90.6,231.1,8.45,40.7,1.67,1
1/3/2025 12:15,3.44,1.09,3.5,87,234.5,11.01,37.2,1.03,1
1/3/2025 12:30,4.09,0.69,4.28,72.1,228,13.55,35,0.5,0
1/3/2025 12:45,1.62,1.28,4.5,77.1,227.1,13.88,34,-1.6,1
1/3/2025 13:00,1.67,1.93,1.96,66.8,229.7,5.67,32.5,1.65,1
1/3/2025 13:15,2.25,1.42,4.02,53,235.6,11.97,27.7,-0.35,0
1/3/2025 13:30,2.39,1.95,4.68,64.3,229.5,13.32,32.3,-0.33,0
1/3/2025 13:45,2.49,1.67,4.4,83.4,230.9,13.44,39,-0.23,0
1/3/2025 14:00,2.76,0.87,1.15,73.8,236.8,5,28.8,2.48,1
1/3/2025 14:15,1.19,1.16,2.7,70.3,227.5,8.45,37.1,-0.35,0
1/3/2025 14:30,1.43,0.93,2.88,61.2,233.8,8.4,35.1,-0.52,0
1/3/2025 14:45,2.26,0.98,3.13,86.7,229,11.82,27.9,0.12,0
1/3/2025 15:00,2.22,1.73,4.27,78.4,224,12.94,35.1,-0.33,0
1/3/2025 15:15,2.45,1.33,2.5,55.8,228.4,7.01,33.3,1.28,1
1/3/2025 15:30,2.57,1.37,2,84.7,230.6,7.44,32.7,1.94,1
1/3/2025 15:45,2.01,0.68,4.37,70.4,232,13.65,29.5,-1.69,1
1/3/2025 16:00,4.42,0.42,3.18,55.6,233.6,9.12,32.1,1.67,1
1/3/2025 16:15,3.51,0.95,1.42,88.5,227,5,27.8,3.05,1
1/3/2025 16:30,2.85,0.23,3.4,55.6,225.4,10.33,33.9,-0.32,0
1/3/2025 16:45,2.42,1.79,4.15,80,226.5,11.77,32.4,0.06,0
1/3/2025 17:00,2.37,0.7,2.9,65.8,228.3,9.86,29.5,0.16,0
1/3/2025 17:15,3.31,2.35,4.37,88.9,229.6,12.6,34.5,1.3,1
1/3/2025 17:30,3.49,0,5.09,75.4,225.6,16.78,33.7,-1.6,1
1/3/2025 17:45,2.46,1.02,4.03,95.6,221.9,12.95,38.6,-0.55,0
1/3/2025 18:00,2.7,1.79,4.84,60.2,226.2,15.69,32.1,-0.35,0
1/3/2025 18:15,1.31,2.07,5.93,100,229.3,17.22,33.5,-2.54,1
1/3/2025 18:30,1.32,1.6,1.76,61.1,228.9,6.61,27.1,1.16,1
1/3/2025 18:45,2.12,0.57,1.99,77,230.7,5.29,35.9,0.7,0
1/3/2025 19:00,1.87,0.95,1.56,63,228.2,5.72,31.2,1.25,1
1/3/2025 19:15,3.79,1.18,2.2,71.1,232.9,6.65,30.1,2.77,1
1/3/2025 19:30,2.33,0.66,1.46,85.9,230.8,5,40.3,1.53,1
1/3/2025 19:45,1.66,2.2,1.66,72,228.5,5,28.2,2.21,1
1/3/2025 20:00,4.08,1.31,2.54,72,229.7,5.17,30.7,2.85,1
1/3/2025 20:15,1.16,0.71,5.05,88.4,229.1,13.96,34.1,-3.17,1
1/3/2025 20:30,0.74,1.99,3.11,78.5,231.4,8.9,30.8,-0.37,0
1/3/2025 20:45,2.03,2,4.14,84.4,225.8,14.15,41.5,-0.12,0
1/3/2025 21:00,1.45,1.85,3.93,81.4,229.4,11.49,30.7,-0.63,0
1/3/2025 21:15,2.99,3.59,3.24,79.2,230.8,8.57,31.9,3.33,1
1/3/2025 21:30,1.88,1.76,4.12,62.5,229.9,11.93,25.6,-0.48,0
1/3/2025 21:45,1.66,1.63,3.7,76.1,229.6,10.13,27.6,-0.41,0
1/3/2025 22:00,1.75,2.35,0.84,70.7,230.2,5,24.3,3.26,1
1/3/2025 22:15,1.04,0.29,2.36,84.3,223.4,7.39,31.7,-1.04,1
1/3/2025 22:30,2.3,0.8,3.11,75.5,226.4,9.27,31.7,-0.01,0
1/3/2025 22:45,3.4,1.36,3.55,64.4,230.7,10.89,30,1.22,1
1/3/2025 23:00,5,0.92,3.41,74.2,226.2,9.63,32.4,2.51,1
1/3/2025 23:15,0,2.58,3.49,81.5,228.2,10.19,33.8,-0.91,0
1/3/2025 23:30,1.97,1.26,3.65,81.2,231.3,9.65,32.2,-0.42,0
1/3/2025 23:45,2.45,1.25,2.64,65.3,227.2,8.37,35.4,1.07,1
1/4/2025 0:00,2.38,2.9,4.59,80.9,231.1,14.01,31,0.69,0
1/4/2025 0:15,2.24,1.95,5.02,67.3,228.5,15.9,37,-0.83,0
1/4/2025 0:30,2.02,1.13,5.01,79.2,223.2,14.77,29.3,-1.86,1
1/4/2025 0:45,2.61,2.19,5.33,78.7,233,17.53,33.6,-0.53,0
1/4/2025 1:00,2.82,1.52,3.42,83.7,226.4,9.15,29.9,0.92,0
1/4/2025 1:15,0.77,1.57,2.15,71.5,232.5,5.91,30.7,0.19,0
1/4/2025 1:30,1.19,1.63,5.52,68.2,233.1,17.55,34.6,-2.7,1
1/4/2025 1:45,3.6,2.43,3.06,85.8,228.5,8.96,30.9,2.97,1
1/4/2025 2:00,3.61,1.18,3.4,87.6,226.1,11.05,33.9,1.39,1
1/4/2025 2:15,1.84,0.99,2.37,77.8,228.5,6.36,31.1,0.46,0
1/4/2025 2:30,1.79,0.08,3.29,74.3,229.4,9.45,33.4,-1.42,1
1/4/2025 2:45,3.49,2.11,5.54,80,235.4,16.83,29.9,0.07,0
1/4/2025 3:00,2.1,0.32,5.59,77.2,234.3,16.49,28.8,-3.17,1
1/4/2025 3:15,2.08,1.53,3.75,82.7,230.8,13.57,32.8,-0.14,0
1/4/2025 3:30,1.14,1.07,4.89,48.6,230.3,14.58,24,-2.68,1
1/4/2025 3:45,2.24,2,4.69,60.3,229.7,13.18,33.1,-0.45,0
1/4/2025 4:00,2.47,1.47,5.48,66.6,228.1,16.97,33,-1.53,1
1/4/2025 4:15,3.25,2.51,0.59,70.7,235.3,5,33.5,5.17,1
1/4/2025 4:30,2.39,2.14,4.16,61.5,222.2,11.64,30.6,0.37,0
1/4/2025 4:45,2.18,1.01,1.93,82.2,229.3,5.71,26,1.26,1
1/4/2025 5:00,2.73,2.17,5.05,85.7,225.2,17.21,30.2,-0.14,0
1/4/2025 5:15,2.33,1.19,3.8,86.9,229.9,10.79,34.6,-0.28,0
